Tipo;Profundidade;Estados;Tempo
Busca Backtracking (poda = false);12;12;0.002534
Busca Backtracking (poda = false);12;12;0.005578
Busca Backtracking (poda = false);12;12;0.056814
Busca Backtracking (poda = false);12;12;0.023151
Busca Backtracking (poda = false);12;12;0.009719
Busca Backtracking (poda = false);12;12;0.032060
Busca Backtracking (poda = false);12;12;0.023805
Busca Backtracking (poda = false);12;12;0.028754
Busca Backtracking (poda = false);12;12;0.009141
Busca Backtracking (poda = false);12;12;0.012448
Busca Backtracking (poda = false);12;12;0.031614
Busca Backtracking (poda = false);12;12;0.008607
Busca Backtracking (poda = false);12;12;0.006315
Busca Backtracking (poda = false);12;12;0.023408
Busca Backtracking (poda = false);12;12;0.008322
Busca Backtracking (poda = false);12;12;0.010326
Busca Backtracking (poda = false);12;12;0.023942
Busca Backtracking (poda = false);12;12;0.008702
Busca Backtracking (poda = false);12;12;0.008915
Busca Backtracking (poda = false);12;12;0.026584
Tipo;Profundidade;Estados;Tempo
Busca em Largura (poda = false);12;2536;0.103702
Busca em Largura (poda = false);12;2536;0.104670
Busca em Largura (poda = false);12;2536;0.100971
Busca em Largura (poda = false);12;2536;0.101753
Busca em Largura (poda = false);12;2536;0.103514
Busca em Largura (poda = false);12;2536;0.105433
Busca em Largura (poda = false);12;2536;0.102031
Busca em Largura (poda = false);12;2536;0.103783
Busca em Largura (poda = false);12;2536;0.102712
Busca em Largura (poda = false);12;2536;0.104774
Busca em Largura (poda = false);12;2536;0.110466
Busca em Largura (poda = false);12;2536;0.105722
Busca em Largura (poda = false);12;2536;0.105494
Busca em Largura (poda = false);12;2536;0.107434
Busca em Largura (poda = false);12;2536;0.109502
Busca em Largura (poda = false);12;2536;0.106366
Busca em Largura (poda = false);12;2536;0.110818
Busca em Largura (poda = false);12;2536;0.113226
Busca em Largura (poda = false);12;2536;0.120611
Busca em Largura (poda = false);12;2536;0.106279
Tipo;Profundidade;Estados;Tempo
Busca em Profundidade (poda = false);20;47;0.003579
Busca em Profundidade (poda = false);20;47;0.003471
Busca em Profundidade (poda = false);20;47;0.008313
Busca em Profundidade (poda = false);20;47;0.016482
Busca em Profundidade (poda = false);20;47;0.009887
Busca em Profundidade (poda = false);20;47;0.012721
Busca em Profundidade (poda = false);20;47;0.017406
Busca em Profundidade (poda = false);20;47;0.017208
Busca em Profundidade (poda = false);20;47;0.017117
Busca em Profundidade (poda = false);20;47;0.010165
Busca em Profundidade (poda = false);20;47;0.026331
Busca em Profundidade (poda = false);20;47;0.011434
Busca em Profundidade (poda = false);20;47;0.014966
Busca em Profundidade (poda = false);20;47;0.019922
Busca em Profundidade (poda = false);20;47;0.012216
Busca em Profundidade (poda = false);20;47;0.005434
Busca em Profundidade (poda = false);20;47;0.011920
Busca em Profundidade (poda = false);20;47;0.006410
Busca em Profundidade (poda = false);20;47;0.008103
Busca em Profundidade (poda = false);20;47;0.009037
